"","Site","Year","Month","Dissolved.nitrate.x","Dissolved.sodium","pH","Water.temp","Suspended.solids","Alkalinity","Total.phosphorus","Ammonium","Dissolved.fluoride","Dissolved.chloride","Dissolved.nitrite","Dissolved.bromide","Dissolved.nitrate.y","Dissolved.sulphate","Latitude","Longitude"
"1","Jubilee River at Pocock's Bridge","2010","10",28.08,28.9,7.92,9.9,2.16,4088,212,97,10,48.27,3,0.06,28.08,47.02,51.494317,-0.594135
"2","Jubilee River at Pocock's Bridge","2010","11",28.83,28.32,7.856,8.18,2.864,4322.2,205.8,76.4,11.6,46.892,4,0.074,28.83,51.294,51.494317,-0.594135
"3","Jubilee River at Pocock's Bridge","2010","12",33.335,32,7.9,2.6,2.935,4017.5,190,103,16.5,50.23,13.5,0.074,33.335,55.26,51.494317,-0.594135
"4","Jubilee River at Pocock's Bridge","2011","06",24.695,33.075,7.9425,18.125,3.58,4071.5,224,55.75,16.25,49.1275,7.5,0.07325,24.695,45.1225,51.494317,-0.594135
"5","Jubilee River at Pocock's Bridge","2011","07",22.0625,34.425,8.0725,19.175,2.53,4148.5,201.25,53,17.75,50.68,6.75,0.0875,22.0625,45.475,51.494317,-0.594135
"6","Jubilee River at Pocock's Bridge","2011","08",21.086,35.82,7.904,18.56,2,4105,250,74,15.8,51.214,9,0.0726,21.086,44.882,51.494317,-0.594135
"7","Jubilee River at Pocock's Bridge","2011","09",24.265,35.7,7.905,16.4,2.9675,4018.25,220.75,59.25,17,52.61,7.5,0.081,24.265,46.915,51.494317,-0.594135
"8","Jubilee River at Pocock's Bridge","2011","10",28.348,39.9,7.912,14.82,1.858,4309,241,54.6,15.8,56.97,14.4,0.0854,28.348,48.556,51.494317,-0.594135
"9","Jubilee River at Pocock's Bridge","2011","11",29.4,38.725,7.7425,10.75,2.05,4131.25,297.25,83.5,15.75,57.1625,44.75,0.077,29.4,52.6125,51.494317,-0.594135
"10","Jubilee River at Pocock's Bridge","2011","12",31.1233333333333,40.3,7.84,6.23333333333333,3.63666666666667,3979,287.333333333333,71.3333333333333,17,60.3966666666667,8.33333333333333,0.0866666666666667,31.1233333333333,57.0033333333333,51.494317,-0.594135
"11","Jubilee River at Pocock's Bridge","2012","01",31.472,32.22,7.864,7.04,4.408,3974.2,237.8,77.4,19.2,52.552,34.4,0.0754,31.472,61.072,51.494317,-0.594135
"12","Jubilee River at Pocock's Bridge","2012","02",32.67,38.5,7.935,7.65,4.55,4368,191,43,18,65.105,11.5,0.075,32.67,66.795,51.494317,-0.594135
"13","Jubilee River at Pocock's Bridge","2012","03",29.06,33.45,8.175,10.325,4.1575,4203,185.5,58,18,52.7,13.75,0.075,29.06,60.915,51.494317,-0.594135
"14","Jubilee River at Pocock's Bridge","2012","04",22.464,33.26,7.84,11.88,22.864,3354.2,213.4,64.6,17.4,51.03,13.6,0.08,22.464,60.63,51.494317,-0.594135
"15","Jubilee River at Pocock's Bridge","2012","05",22.8725,20.725,7.92,14.775,6.9825,4172.5,166.25,102.25,19,34.935,16.5,0.0565,22.8725,48.2375,51.494317,-0.594135
"16","Jubilee River at Pocock's Bridge","2012","06",21.8775,22.05,7.9125,16.225,3.5975,3982.75,185,80,16.5,36.7425,11.5,0.07275,21.8775,45.6375,51.494317,-0.594135
"17","Jubilee River at Pocock's Bridge","2012","07",19.792,20.86,7.968,18.18,3.43,4427.8,183,43.8,17.8,33.68,7,0.0764,19.792,43.598,51.494317,-0.594135
"18","Jubilee River at Pocock's Bridge","2012","08",23.955,22.825,7.96,19.125,3.5475,4535.75,179.75,69.25,15.25,36.32,8.75,0.09275,23.955,42.3375,51.494317,-0.594135
"19","Jubilee River at Pocock's Bridge","2012","09",25.7,25.075,8.085,16.3,5.8925,4456.25,185.75,71.75,16,40.14,6.75,0.0685,25.7,45.4675,51.494317,-0.594135
"20","Jubilee River at Pocock's Bridge","2012","10",26.334,20.06,7.968,33.12,9.334,4103.6,200.6,90.4,18.8,32.716,11.4,0.065,26.334,45.856,51.494317,-0.594135
"21","Jubilee River at Pocock's Bridge","2012","11",23.8375,17.8,7.94,8.425,26.605,4046,235.25,89.5,17.25,29.4025,8.5,0.055,23.8375,40.6725,51.494317,-0.594135
"22","Jubilee River at Pocock's Bridge","2012","12",27.94,18.7333333333333,7.99333333333333,4.8,13.6533333333333,4481.33333333333,127,121,15.6666666666667,32.8433333333333,9,0.0666666666666667,27.94,41.97,51.494317,-0.594135
"23","Jubilee River at Pocock's Bridge","2013","01",28.3375,22,8.02,5.825,10.62,4300.5,141,165.75,17,38.4925,7.75,0.0775,28.3375,41.0875,51.494317,-0.594135
"24","Jubilee River at Pocock's Bridge","2013","02",26.875,17.45,7.9925,5.525,12.2575,4090.25,128,162.5,17.25,31.6575,8.5,0.06425,26.875,37.8325,51.494317,-0.594135
"25","River Cherwell at Hampton Poyle","2010","10",22.42,40,7.95,7.2,8.5,4363,207,31,15,59.84,3,0.052,22.42,67.06,51.833191,-1.27724
"26","River Cherwell at Hampton Poyle","2010","11",25.398,32.4,7.942,6.46,10.292,4314,197.2,35.8,17,49.972,3.4,0.0598,25.398,68.216,51.833191,-1.27724
"27","River Cherwell at Hampton Poyle","2010","12",29.185,36.3,7.895,2.2,3.755,4403.5,173,56.5,21.5,56.795,8.5,0.0825,29.185,72.595,51.833191,-1.27724
"28","River Cherwell at Hampton Poyle","2011","06",20.095,47.175,7.855,16.05,12.2975,4493.75,206.5,48.75,22,63.01,4.75,0.06725,20.095,68.6125,51.833191,-1.27724
"29","River Cherwell at Hampton Poyle","2011","07",17.0575,46.45,7.8575,16.75,14.6675,4423,244.5,45,23.25,63.1325,4,0.084,17.0575,69.0825,51.833191,-1.27724
"30","River Cherwell at Hampton Poyle","2011","08",13.754,62.96,7.82,16.48,15.04,4813.8,231,47.6,21.6,76.964,3,0.0964,13.754,72.186,51.833191,-1.27724
"31","River Cherwell at Hampton Poyle","2011","09",17.86,60.9,7.835,14.875,11.605,4648.5,307.75,34,21.5,80.96,3,0.1255,17.86,75.855,51.833191,-1.27724
"32","River Cherwell at Hampton Poyle","2011","10",16.5225,62.575,7.8025,12.95,12.045,4680.5,290.5,38.5,20.75,88.3625,3,0.1035,16.5225,82.5525,51.833191,-1.27724
"33","River Cherwell at Hampton Poyle","2011","11",22.252,59.74,7.764,10.12,8.352,4404.8,370.4,53.4,20,91.728,36.6,0.085,22.252,83.932,51.833191,-1.27724
"34","River Cherwell at Hampton Poyle","2011","12",25.65,64.8,7.88333333333333,4.33333333333333,6.6,4044.66666666667,355,45.6666666666667,21.3333333333333,100.08,3,0.11,25.65,84.41,51.833191,-1.27724
"35","River Cherwell at Hampton Poyle","2012","01",26.61,46.8,7.888,5.76,7.04,3931.8,282.8,34.8,22.8,77.696,3.8,0.0782,26.61,82.584,51.833191,-1.27724
"36","River Cherwell at Hampton Poyle","2012","02",27.3666666666667,44.8333333333333,7.91333333333333,5.4,5.07333333333333,4084.33333333333,200.666666666667,28.6666666666667,23,77.2233333333333,3,0.07,27.3666666666667,83.82,51.833191,-1.27724
"37","River Cherwell at Hampton Poyle","2012","03",21.0125,44.95,7.9575,8.675,4.9525,4164.25,176.25,38.5,23.5,76.04,3,0.085,21.0125,83.0375,51.833191,-1.27724
"38","River Cherwell at Hampton Poyle","2012","04",17.51,43.425,7.92,9.85,8.58,4105,203.25,25.5,23.5,71.525,12.75,0.0775,17.51,78.595,51.833191,-1.27724
"39","River Cherwell at Hampton Poyle","2012","05",23.004,20.14,7.796,13.24,12.464,3549.2,145.8,34.2,23.4,38.126,7,0.0494,23.004,56.544,51.833191,-1.27724
"40","River Cherwell at Hampton Poyle","2012","06",19.9225,23.575,7.8275,14.55,8.7275,3944.75,164,45.25,21,39.5325,6.75,0.06625,19.9225,55.4425,51.833191,-1.27724
"41","River Cherwell at Hampton Poyle","2012","07",15.87,20.58,7.82,16.74,10.222,4140.8,151.4,47.4,23.8,33.926,9.2,0.0702,15.87,48.508,51.833191,-1.27724
"42","River Cherwell at Hampton Poyle","2012","08",21.4125,28.775,7.915,17,9.3,4599.25,154.75,47.75,20.25,45.9275,5.5,0.0925,21.4125,61.4575,51.833191,-1.27724
"43","River Cherwell at Hampton Poyle","2012","09",21.635,31.575,8.035,14.225,11.4575,4440.25,154,34.25,22.5,48.2175,3.75,0.07325,21.635,63.2325,51.833191,-1.27724
"44","River Cherwell at Hampton Poyle","2012","10",27.048,20.44,7.968,10.64,17.064,4009.8,170.8,42,26.4,36.1,5,0.0604,27.048,55.22,51.833191,-1.27724
"45","River Cherwell at Hampton Poyle","2012","11",26.99,17.175,7.89,7.45,29.7775,3533.75,203.25,57.75,20.5,30.61,5,0.045,26.99,46.5575,51.833191,-1.27724
"46","River Cherwell at Hampton Poyle","2012","12",33.2066666666667,18.6333333333333,7.89333333333333,4.86666666666667,24.4766666666667,3534.33333333333,138.333333333333,53,23,35.3766666666667,7.33333333333333,0.06,33.2066666666667,46.43,51.833191,-1.27724
"47","River Cherwell at Hampton Poyle","2013","01",34.645,21.85,7.9775,4.825,15.525,3574.75,116.75,58.5,23,40.4125,5.5,0.0575,34.645,47.91,51.833191,-1.27724
"48","River Cherwell at Hampton Poyle","2013","02",34.52,17.575,7.93,4.8,27.6,3628,116,63.5,24.25,34.0575,5,0.0585,34.52,47,51.833191,-1.27724
"49","River Cole at Lynt Bridge","2010","10",13.52,35.5,7.93,7,8.25,3928,370,39,14,63.37,3,0.065,13.52,53.95,51.680375,-1.697669
"50","River Cole at Lynt Bridge","2010","11",12.798,26.82,7.912,6.34,7.972,4294.4,316.2,42.4,12,30.564,7,0.0384,12.798,39.27,51.680375,-1.697669
"51","River Cole at Lynt Bridge","2010","12",20.985,64.45,7.92,1.75,4.56,4633,321,91.5,20.5,103.625,10,0.102,20.985,65.84,51.680375,-1.697669
"52","River Cole at Lynt Bridge","2011","06",7.7725,28.525,7.6575,16.025,16.6025,3441.5,378,89.25,18.5,44.9925,9,0.0745,7.7725,42.685,51.680375,-1.697669
"53","River Cole at Lynt Bridge","2011","07",6.3475,30.65,7.6325,16.5,17.185,3637.25,411.25,72.5,20.25,46.28,7.25,0.07575,6.3475,46.62,51.680375,-1.697669
"54","River Cole at Lynt Bridge","2011","08",9.36,30.4,7.652,16.2,21.538,3705,467,70.8,17.8,48.854,7.4,0.0936,9.36,48.352,51.680375,-1.697669
"55","River Cole at Lynt Bridge","2011","09",10.215,34.475,7.6975,15.05,19.27,3937,495,45.5,19,54.1025,6.75,0.095,10.215,49.8375,51.680375,-1.697669
"56","River Cole at Lynt Bridge","2011","10",7.3925,39.125,7.7775,13.175,24.1925,4181.25,489.75,57.25,17.75,54.39,3,0.1265,7.3925,54.2625,51.680375,-1.697669
"57","River Cole at Lynt Bridge","2011","11",8.584,31.88,7.742,10.5,14.958,3789.6,523.4,50.4,18,47.704,20.6,0.0932,8.584,54.366,51.680375,-1.697669
"58","River Cole at Lynt Bridge","2011","12",15.25,53.7,7.85333333333333,4.8,12.75,3391.66666666667,371.333333333333,58.3333333333333,19.6666666666667,90.2933333333333,9.66666666666667,0.106666666666667,15.25,62.9133333333333,51.680375,-1.697669
"59","River Cole at Lynt Bridge","2012","01",24.724,32.74,7.944,5.52,9.364,4359,300.2,36.2,26.2,58.37,4.2,0.1256,24.724,80.748,51.680375,-1.697669
"60","River Cole at Lynt Bridge","2012","02",20.3033333333333,66.6,8.03666666666667,5.96666666666667,7.04,4474,279.666666666667,54.3333333333333,23.6666666666667,111.483333333333,3,0.0733333333333333,20.3033333333333,80.7266666666667,51.680375,-1.697669
"61","River Cole at Lynt Bridge","2012","03",18.2875,37.7,8.1,9.5,9.12,4546.25,236.75,42.5,25.25,65.4125,3,0.0525,18.2875,78.655,51.680375,-1.697669
"62","River Cole at Lynt Bridge","2012","04",13.895,34.825,8.0475,10.375,10.8175,4374.25,278,44.75,22.25,58.8875,16.25,0.09,13.895,67.6675,51.680375,-1.697669
"63","River Cole at Lynt Bridge","2012","05",20.804,21.1,7.908,13.4,13.032,4745,203,83,23.6,39.8,3.4,0.0592,20.804,54.066,51.680375,-1.697669
"64","River Cole at Lynt Bridge","2012","06",17.2233333333333,19.1666666666667,7.79333333333333,14.0333333333333,14.96,4432.33333333333,258.666666666667,106.666666666667,22,33.93,8.66666666666667,0.0583333333333333,17.2233333333333,47.1333333333333,51.680375,-1.697669
"65","River Cole at Lynt Bridge","2012","07",14.256,20.58,7.918,16,9.116,5267.8,230.6,55.2,23.4,35.084,3.8,0.08,14.256,50.026,51.680375,-1.697669
"66","River Cole at Lynt Bridge","2012","08",19.3025,19.7,7.9475,16.775,14.0825,4780,302.5,68.25,20.5,31.32,9.5,0.08625,19.3025,45.065,51.680375,-1.697669
"67","River Cole at Lynt Bridge","2012","09",20.235,20.7,8.065,14.1,21.185,4922,323.5,62,20.5,36.445,3.75,0.07475,20.235,50.6725,51.680375,-1.697669
"68","River Cole at Lynt Bridge","2012","10",23.448,18.66,7.954,10.94,12.24,5129.8,222.8,86.8,31.8,31.428,10,0.0814,23.448,52.776,51.680375,-1.697669
"69","River Cole at Lynt Bridge","2012","11",20.36,16,7.9225,7.9,19.4025,4478,266,50.5,24.25,27.46,4.5,0.0525,20.36,41.695,51.680375,-1.697669
"70","River Cole at Lynt Bridge","2012","12",25.7333333333333,18.7333333333333,8,5.96666666666667,13.85,4951,179.666666666667,70.6666666666667,22,34.82,8.33333333333333,0.07,25.7333333333333,46.0033333333333,51.680375,-1.697669
"71","River Cole at Lynt Bridge","2013","01",25.3625,26.075,8.0325,5.725,22.64,4523,201,78.25,22,48.96,6.25,0.165,25.3625,41.1425,51.680375,-1.697669
"72","River Cole at Lynt Bridge","2013","02",24.1775,17.3,7.9775,5.9,31.4425,4699.5,220.5,87.75,23.5,33.56,6.75,0.034,24.1775,39.45,51.680375,-1.697669
"73","River Coln at Whelford","2010","10",24.42,8.7,7.94,7.9,4.05,4159,98,39,13,17.23,14,0.05,24.42,35.49,51.690397,-1.754021
"74","River Coln at Whelford","2010","11",25.56,8.78,7.97,7.32,4.078,4415.2,101.8,40.8,11.6,17.338,7,0.0384,25.56,36.238,51.690397,-1.754021
"75","River Coln at Whelford","2010","12",26.995,8.75,7.88,4.65,5.99,4129.5,74.5,62.5,14,17.015,37.5,0.0435,26.995,34.975,51.690397,-1.754021
"76","River Coln at Whelford","2011","06",22.45,9.35,8.065,15.3,4.005,4150.75,111,56.5,15.75,16.73,13.5,0.03975,22.45,35.5325,51.690397,-1.754021
"77","River Coln at Whelford","2011","07",20.7025,9.525,8.095,15.825,2.405,4077,102.25,48.75,17.25,16.9525,9.75,0.04275,20.7025,36.67,51.690397,-1.754021
"78","River Coln at Whelford","2011","08",19.808,9.9,8.034,15.58,2.444,4214.2,130,44.8,14.8,17.312,10.2,0.0386,19.808,37.046,51.690397,-1.754021
"79","River Coln at Whelford","2011","09",19.31,9.775,8.025,14.4,3.9325,4266.75,130.5,29.5,16.5,17.6375,9,0.0385,19.31,37.7025,51.690397,-1.754021
"80","River Coln at Whelford","2011","10",19.0925,9.725,7.9925,12.875,4.435,4285,126,35.5,16,17.175,5.25,0.03925,19.0925,38.345,51.690397,-1.754021
"81","River Coln at Whelford","2011","11",19.934,10.38,7.93,10.5,5.304,4388.4,169.2,47.8,16.2,18.102,18.2,0.0398,19.934,39.312,51.690397,-1.754021
"82","River Coln at Whelford","2011","12",20.9366666666667,11.1,7.99,5.63333333333333,10.3066666666667,4183,171.666666666667,49,16.6666666666667,20.0133333333333,9,0.0266666666666667,20.9366666666667,39.2933333333333,51.690397,-1.754021
"83","River Coln at Whelford","2012","01",26.52,8.92,7.906,7.72,7.34,4067,111.6,47.4,16,17.654,9.4,0.0324,26.52,35.956,51.690397,-1.754021
"84","River Coln at Whelford","2012","02",27.7566666666667,9.6,7.93,8.56666666666667,3.99666666666667,4343.66666666667,80.3333333333333,26.3333333333333,15.3333333333333,18.71,9.33333333333333,0.0233333333333333,27.7566666666667,36.7133333333333,51.690397,-1.754021
"85","River Coln at Whelford","2012","03",25.5975,9.15,7.9675,10.65,4.07,4255.25,79.25,46,14.5,17.54,7.75,0.03,25.5975,36.1375,51.690397,-1.754021
"86","River Coln at Whelford","2012","04",22.43,9.225,8.0925,11.7,4.9425,4208,102.75,41.25,15.75,17.6575,9,0.04,22.43,36.35,51.690397,-1.754021
"87","River Coln at Whelford","2012","05",27.764,8.2,7.942,12.68,9.694,4249.6,63.4,56.2,13,16.15,9,0.0406,27.764,30.778,51.690397,-1.754021
"88","River Coln at Whelford","2012","06",26.56,8.175,8.03,13.575,5.2125,4286.25,51.5,37.5,13.75,16.1925,9.75,0.03725,26.56,31.19,51.690397,-1.754021
"89","River Coln at Whelford","2012","07",26.804,8.1,7.938,13.38,2.114,4458.6,41.8,58,13.6,15.9,5.6,0.0432,26.804,30.454,51.690397,-1.754021
"90","River Coln at Whelford","2012","08",24.7575,8.1,8.005,13.975,2.7525,4422.5,52.25,48,14,15.555,8.5,0.046,24.7575,30.46,51.690397,-1.754021
"91","River Coln at Whelford","2012","09",26.3625,8,8.02,12.5,4.2575,4224.5,59.75,73,14.75,15.5975,5,0.03975,26.3625,30.565,51.690397,-1.754021
"92","River Coln at Whelford","2012","10",29.274,7.94,7.976,10.8,3.054,4545.4,37.6,43.8,14,15.308,8,0.0438,29.274,30.332,51.690397,-1.754021
"93","River Coln at Whelford","2012","11",29.175,7.825,7.97,9.1,6.02,4343,60.25,45.25,12.5,14.75,4.75,0.0425,29.175,27.64,51.690397,-1.754021
"94","River Coln at Whelford","2012","12",31.22,7.8,7.98,7.36666666666667,3.66,4433.33333333333,39,44.6666666666667,10.6666666666667,15.82,6,0.0433333333333333,31.22,29.3166666666667,51.690397,-1.754021
"95","River Coln at Whelford","2013","01",30.175,7.975,8.0025,7.775,5.49,4106.5,33.5,65.25,13,15.83,8.25,0.04,30.175,29.9275,51.690397,-1.754021
"96","River Coln at Whelford","2013","02",31.4825,7.575,7.985,7.975,5.7,4131,29.5,55.25,14.25,15.5725,5.5,0.04375,31.4825,29.4275,51.690397,-1.754021
"97","River Enborne at Brimpton","2010","10",16.49,21.1,7.73,7.4,4.22,1953,194,56,14,42.78,3,0.07,16.49,27.53,51.380307,-1.183811
"98","River Enborne at Brimpton","2010","11",16.93,15.825,7.5825,6.475,5.9725,2330.25,167,73.25,5.75,32.7775,5.25,0.0595,16.93,32.0775,51.380307,-1.183811
"99","River Enborne at Brimpton","2010","12",15.615,22.2,7.68,2.15,2.48,2213.5,149.5,161.5,14,43.935,13,0.052,15.615,32.565,51.380307,-1.183811
"100","River Enborne at Brimpton","2011","06",18.87,21.125,7.68,15.3,11.7275,3081.25,255.25,89.75,15.5,38.365,9.75,0.067,18.87,23.4825,51.380307,-1.183811
"101","River Enborne at Brimpton","2011","07",19.78,24.4,7.7875,15.9,7.0825,3405.5,273.75,65,18,43.4225,5,0.05575,19.78,24.2575,51.380307,-1.183811
"102","River Enborne at Brimpton","2011","08",16.976,22.5,7.736,16.1,6.178,3168.8,285.2,80.2,15.4,41.532,6.8,0.0552,16.976,26.486,51.380307,-1.183811
"103","River Enborne at Brimpton","2011","09",16.835,22.7,7.6775,15.175,7.2725,2982.25,251.25,68,16,41.9825,4.75,0.071,16.835,25.745,51.380307,-1.183811
"104","River Enborne at Brimpton","2011","10",18.476,25.88,7.634,12.92,5.914,3169.8,221.6,45.8,13.6,46.216,17.2,0.0642,18.476,24.63,51.380307,-1.183811
"105","River Enborne at Brimpton","2011","11",15.6825,21.025,7.495,9.275,5.0425,2605,154.5,58.5,12.75,41.0575,21,0.06475,15.6825,28.945,51.380307,-1.183811
"106","River Enborne at Brimpton","2011","12",17.1133333333333,20.9666666666667,7.59,4.8,6.84,2328.66666666667,126.666666666667,103.666666666667,13.6666666666667,41.0733333333333,6,0.0633333333333333,17.1133333333333,30.2466666666667,51.380307,-1.183811
"107","River Enborne at Brimpton","2012","01",17.262,16.12,7.63,5.92,9.772,2476.4,118,83,14.2,32.586,7.2,0.0524,17.262,29.542,51.380307,-1.183811
"108","River Enborne at Brimpton","2012","02",16.5,20.9,7.935,6.05,3.365,2832,130.5,57,13,42.61,9,0.06,16.5,32.82,51.380307,-1.183811
"109","River Enborne at Brimpton","2012","03",14.8875,18.825,7.77,8.875,9.785,2484.5,144.25,95.75,13.25,36.9575,4.25,0.0575,14.8875,28.96,51.380307,-1.183811
"110","River Enborne at Brimpton","2012","04",15.31,18.86,7.874,9.36,9.364,2463.8,180.6,68,13.4,36.1,11.6,0.058,15.31,26.87,51.380307,-1.183811
"111","River Enborne at Brimpton","2012","05",16.2725,14.8,7.7725,12.275,6.8775,2969.5,119.25,61.75,13.75,29.15,3.25,0.05775,16.2725,25.715,51.380307,-1.183811
"112","River Enborne at Brimpton","2012","06",13.79,13.8666666666667,7.66333333333333,14.2,6.58333333333333,2692.33333333333,123.666666666667,45.3333333333333,12.6666666666667,26.6466666666667,4,0.0616666666666667,13.79,22.0033333333333,51.380307,-1.183811
"113","River Enborne at Brimpton","2012","07",14.84,13.14,7.746,14.76,7.026,3071.8,122.2,52.6,13.2,24.854,6.4,0.0734,14.84,21.118,51.380307,-1.183811
"114","River Enborne at Brimpton","2012","08",20.14,15.175,7.9375,15.9,11.2525,3845.25,129.75,68.5,12.5,30.0975,8.25,0.0765,20.14,22.855,51.380307,-1.183811
"115","River Enborne at Brimpton","2012","09",21.25,17.25,8.01,13.8,7.4725,3704.75,167.5,54.75,13.25,34.2425,5,0.054,21.25,23.97,51.380307,-1.183811
"116","River Enborne at Brimpton","2012","10",15.838,14.42,7.828,10.88,5.914,2927.4,140.4,87.6,15.2,27.332,8.6,0.0646,15.838,26.254,51.380307,-1.183811
"117","River Enborne at Brimpton","2012","11",13.83,11.85,7.6675,8,14.6475,2482.5,131.75,69.25,14,22.26,6.75,0.0475,13.83,20.7725,51.380307,-1.183811
"118","River Enborne at Brimpton","2012","12",14.96,15.9666666666667,7.77666666666667,6.23333333333333,8.93333333333333,2565.33333333333,92.3333333333333,135,9.66666666666667,31.7366666666667,10,0.0666666666666667,14.96,22.9333333333333,51.380307,-1.183811
"119","River Enborne at Brimpton","2013","01",16.0525,16.45,7.85,5.9,8.63,2637.75,110.25,148,11.5,32.575,9.25,0.065,16.0525,21.975,51.380307,-1.183811
"120","River Enborne at Brimpton","2013","02",16.075,13.45,7.79,5.725,11.1,2535.75,103.5,109.5,12.75,27.015,10.25,0.0665,16.075,21.6725,51.380307,-1.183811
"121","River Evenlode at Cassington Mill","2010","10",24.29,18,7.93,6.9,6.2,3881,268,22,12,30.38,3,0.039,24.29,47.7,51.787779,-1.353355
"122","River Evenlode at Cassington Mill","2010","11",26.084,16.18,7.926,6.4,44.862,4239,366.6,63.8,10.8,26.77,4.6,0.0538,26.084,47.668,51.787779,-1.353355
"123","River Evenlode at Cassington Mill","2010","12",31.34,16.4,7.94,2.5,2.635,4307.5,221,56,14,26.945,15.5,0.059,31.34,49.02,51.787779,-1.353355
"124","River Evenlode at Cassington Mill","2011","06",19.2325,21.725,7.855,15.725,10.0375,3918.75,332,58,15,31.07,14.75,0.05775,19.2325,49.1575,51.787779,-1.353355
"125","River Evenlode at Cassington Mill","2011","07",16.8875,23.475,7.8725,16.525,10.4175,4013.75,357.5,44.75,16.5,33.21,5.75,0.06025,16.8875,50.4675,51.787779,-1.353355
"126","River Evenlode at Cassington Mill","2011","08",15.932,25.4,7.91,16.06,10.806,4076.2,398.4,62.4,14.6,35.464,5.4,0.0608,15.932,52.552,51.787779,-1.353355
"127","River Evenlode at Cassington Mill","2011","09",16.5825,25.2,7.8525,14.525,11.465,4123.75,410,29.5,15,36.4,3,0.06575,16.5825,54.8725,51.787779,-1.353355
"128","River Evenlode at Cassington Mill","2011","10",15.9,26.725,7.8825,12.8,8.83,4273.5,447.25,35.5,14.25,37.04,3.5,0.0595,15.9,57.735,51.787779,-1.353355
"129","River Evenlode at Cassington Mill","2011","11",17.816,26.22,7.814,10.08,7.014,4207,506.4,54.6,13.8,37.648,19,0.0484,17.816,58.328,51.787779,-1.353355
"130","River Evenlode at Cassington Mill","2011","12",24.3166666666667,25.8,7.89666666666667,4.66666666666667,13.08,3847.66666666667,492.333333333333,53,15.6666666666667,38.56,8,0.05,24.3166666666667,60.89,51.787779,-1.353355
